Fecha,Total
2022-10-11,3571
2022-10-12,11184
2022-10-13,13873
2022-10-14,16442
2022-10-15,356
2022-10-16,16
2022-10-17,12874
2022-10-18,12654
2022-10-19,12611
2022-10-20,11055
2022-10-21,10498
2022-10-22,305
2022-10-23,4
2022-10-24,6492
2022-10-25,7166
2022-10-26,13628
2022-10-27,15329
2022-10-28,11527
2022-10-29,462
2022-10-30,36
2022-10-31,59
2022-11-01,52
2022-11-02,9486
2022-11-03,10374
2022-11-04,9737
2022-11-05,553
2022-11-06,50
2022-11-07,23727
2022-11-08,32056
2022-11-09,27651
2022-11-10,29247
2022-11-11,24753
2022-11-12,1884
2022-11-13,193
2022-11-14,71372
2022-11-15,56304
2022-11-16,65862
2022-11-17,62075
2022-11-18,48429
2022-11-19,4029
2022-11-20,287
2022-11-21,47173
2022-11-22,42521
2022-11-23,37620
2022-11-24,34809
2022-11-25,28485
2022-11-26,3136
2022-11-27,263
2022-11-28,33562
2022-11-29,31332
2022-11-30,25966
2022-12-01,25780
2022-12-02,20288
2022-12-03,2487
2022-12-04,97
2022-12-05,23999
2022-12-06,22779
2022-12-07,20536
2022-12-08,403
2022-12-09,16090
2022-12-10,1695
2022-12-11,237
2022-12-12,17278
2022-12-13,16680
2022-12-14,15153
2022-12-15,14637
2022-12-16,11389
2022-12-17,1760
2022-12-18,193
2022-12-19,13655
2022-12-20,13346
2022-12-21,12034
2022-12-22,9822
2022-12-23,5220
2022-12-24,144
2022-12-25,0
2022-12-26,0
2022-12-27,10967
2022-12-28,14495
2022-12-29,13238
2022-12-30,11875
2022-12-31,5971
2023-01-01,0
2023-01-02,0
2023-01-03,121
2023-01-04,0
2023-01-05,1
2023-01-06,14483
2023-01-07,20096
2023-01-08,19244
2023-01-09,16898
2023-01-10,924
2023-01-11,178
2023-01-12,24939
2023-01-13,23295
2023-01-14,21925
2023-01-15,23399
2023-01-16,24192
2023-01-17,1713
2023-01-18,157
2023-01-19,37227
2023-01-20,39308
2023-01-21,35863
2023-01-22,31891
2023-01-23,27881
2023-01-24,2495
2023-01-25,213
2023-01-26,28627
2023-01-27,30149
2023-01-28,28042
2023-01-29,24940
2023-01-30,22252
2023-01-31,2609
2023-02-01,314
2023-02-02,21627
2023-02-03,21085
2023-02-04,22053
2023-02-05,21217
2023-02-06,14197
2023-02-07,1449
2023-02-08,69
2023-02-09,15690
2023-02-10,15460
2023-02-11,15090
2023-02-12,14718
2023-02-13,12900
2023-02-14,1085
2023-02-15,103
2023-02-16,13700
2023-02-17,12437
2023-02-18,12861
2023-02-19,13483
2023-02-20,12005
2023-02-21,1002
2023-02-22,59
2023-02-23,14387
2023-02-24,15052
2023-02-25,14836
2023-02-26,16266
2023-02-27,15055
2023-02-28,1509
2023-03-01,149
2023-03-02,16403
2023-03-03,16372
2023-03-04,15565
2023-03-05,17121
2023-03-06,15759
2023-03-07,1213
2023-03-08,146
2023-03-09,16031
2023-03-10,17416
2023-03-11,16308
2023-03-12,16105
2023-03-13,16508
2023-03-14,1671
2023-03-15,434
2023-03-16,17286
2023-03-17,17415
2023-03-18,15013
2023-03-19,15149
2023-03-20,20912
2023-03-21,2877
2023-03-22,613
2023-03-23,25680
2023-03-24,26167
2023-03-25,26725
2023-03-26,26936
2023-03-27,25160
2023-03-28,4257
2023-03-29,659
2023-03-30,24246
2023-03-31,23972
2023-04-01,25557
2023-04-02,24799
2023-04-03,21395
2023-04-04,3702
2023-04-05,383
2023-04-06,23170
2023-04-07,22869
2023-04-08,20923
2023-04-09,21029
2023-04-10,232
2023-04-11,270
2023-04-12,161
2023-04-13,19580
2023-04-14,21005
2023-04-15,21255
2023-04-16,21495
2023-04-17,19814
2023-04-18,3919
2023-04-19,1092
2023-04-20,21569
2023-04-21,21155
2023-04-22,22007
2023-04-23,22837
2023-04-24,19195
2023-04-25,4267
2023-04-26,580
2023-04-27,19205
2023-04-28,22062
2023-04-29,23816
2023-04-30,21747
2023-05-01,18939
2023-05-02,3259
2023-05-03,441
2023-05-04,61
2023-05-05,18710
2023-05-06,19310
2023-05-07,19994
2023-05-08,21011
2023-05-09,4107
2023-05-10,2424
2023-05-11,18761
2023-05-12,17106
2023-05-13,17445
2023-05-14,17352
2023-05-15,13727
2023-05-16,3933
2023-05-17,94
2023-05-18,15135
2023-05-19,16644
2023-05-20,17398
2023-05-21,16468
2023-05-22,15962
2023-05-23,4367
